,Name,Category,Number of Followers,Account created Date,Number of Likes,TwitterHandle,Content,RetweetCount,Location
0,The Weeknd,Artist,15287976,2011-02-21 07:45:45+00:00,62341,https://twitter.com/theweeknd,let’s keep them coming. XO https://t.co/ftYg9YNKBK,7020,"Toronto, Ontario"
1,The Weeknd,Artist,15287976,2011-02-21 07:45:45+00:00,19986,https://twitter.com/theweeknd,you’re not wrong. must have been subconscious. https://t.co/WAXXaaW7aC,1372,"Toronto, Ontario"
2,The Weeknd,Artist,15287976,2011-02-21 07:45:45+00:00,43717,https://twitter.com/theweeknd,ya’ll really turned this into a GIF 🤣 https://t.co/TRCUIT9Seh,4947,"Toronto, Ontario"
3,The Weeknd,Artist,15287976,2011-02-21 07:45:45+00:00,16885,https://twitter.com/theweeknd,i went full method ! https://t.co/AvJBsz8GCf,1346,"Toronto, Ontario"
4,The Weeknd,Artist,15287976,2011-02-21 07:45:45+00:00,12969,https://twitter.com/theweeknd,‼️‼️‼️‼️‼️ https://t.co/6uYWWJuqSI,1051,"Toronto, Ontario"
5,The Weeknd,Artist,15287976,2011-02-21 07:45:45+00:00,36952,https://twitter.com/theweeknd,my vegas inspo https://t.co/vsdSdwWfS9,2888,"Toronto, Ontario"
6,The Weeknd,Artist,15287976,2011-02-21 07:45:45+00:00,43148,https://twitter.com/theweeknd,editing as we speak 🎥,3867,"Toronto, Ontario"
7,The Weeknd,Artist,15287976,2011-02-21 07:45:45+00:00,79865,https://twitter.com/theweeknd,so happy this GIF exists https://t.co/OUgWN4R7h7,12233,"Toronto, Ontario"
8,The Weeknd,Artist,15287976,2011-02-21 07:45:45+00:00,26842,https://twitter.com/theweeknd,honestly everyone should watch that episode. Season 8 ep 23 (Homer’s Enemy) Great life lesson.,2381,"Toronto, Ontario"
9,The Weeknd,Artist,15287976,2011-02-21 07:45:45+00:00,22288,https://twitter.com/theweeknd,i kind of felt sorry for frank grimes. but then I found myself rooting for homer. he was just a better person in the end.,1801,"Toronto, Ontario"
